SeasonType,Season,Team,PointsAllowed,TouchdownsScored,Sacks,SackYards,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,BlockedKicks,Safeties,PuntReturnTouchdowns,KickReturnTouchdowns,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,Games,QuarterbackHits,TacklesForLoss,DefensiveTouchdowns,SpecialTeamsTouchdowns,FantasyPoints,PointsAllowedByDefenseSpecialTeams,AuctionValue,AuctionValuePPR,TwoPointConversionReturns,FantasyPointsFanDuel,FantasyPointsDraftKings,PlayerID,AverageDraftPosition,AverageDraftPositionPPR,TeamID
1,2018,HOU,436.00,4.00,42.00,200.00,11.00,13.00,1.50,14.00,1.50,0.00,1.00,0.50,0.50,0.00,0.00,16,74.00,95.00,3.00,1,107.00,416.00,1,1,0.00,107.00,107.00,13,128.20,129.40,13
1,2018,IND,404.00,2.00,30.00,179.00,9.00,10.00,0.50,13.00,0.50,2.00,2.00,0.50,0.50,0.00,0.00,16,75.00,79.00,1.00,1,78.00,366.00,0,0,0.00,78.00,78.00,14,187.00,185.00,14
1,2018,JAX,268.00,5.00,49.00,356.00,15.00,14.00,2.00,18.00,2.00,0.00,0.00,0.50,0.50,0.00,0.00,16,113.00,103.00,4.00,1,129.00,262.00,4,4,0.00,129.00,129.00,52,91.00,93.80,15
1,2018,KC,339.00,5.00,34.00,179.00,12.00,12.00,1.50,14.00,1.50,1.00,0.00,1.00,1.00,0.00,0.00,16,69.00,86.00,3.00,2,104.00,331.00,1,1,0.00,104.00,104.00,55,166.40,169.20,16
1,2018,LAC,272.00,6.00,44.00,261.00,11.00,13.00,2.00,17.00,2.00,0.00,0.00,1.00,1.00,0.00,0.00,16,85.00,93.00,4.00,2,127.00,262.00,2,2,0.00,127.00,127.00,84,120.00,118.30,29
1,2018,LAR,329.00,5.00,45.00,324.00,18.00,15.00,1.50,17.00,1.50,4.00,2.00,1.00,1.00,0.00,0.00,16,100.00,82.00,3.00,2,124.00,317.00,2,2,0.00,124.00,124.00,32,100.30,102.00,32
1,2018,MIA,393.00,3.00,34.00,185.00,9.00,10.00,1.00,12.00,1.00,2.00,2.00,0.50,0.50,0.00,0.00,16,89.00,77.00,2.00,1,86.00,369.00,0,0,0.00,86.00,86.00,64,184.00,182.00,19
1,2018,MIN,252.00,4.00,42.00,251.00,5.00,12.00,1.50,17.00,1.50,0.00,1.00,0.50,0.50,0.00,0.00,16,85.00,82.00,3.00,1,112.00,250.00,3,3,0.00,112.00,112.00,67,106.90,111.60,20
1,2018,NE,296.00,3.00,42.00,299.00,8.00,12.00,1.00,14.00,1.00,2.00,2.00,0.50,0.50,0.00,0.00,16,93.00,73.00,2.00,1,100.00,278.00,1,1,0.00,100.00,100.00,21,162.00,158.70,21
1,2018,NO,326.00,3.00,39.00,287.00,16.00,12.00,1.00,16.00,1.00,1.00,0.00,0.50,0.50,0.00,0.00,16,83.00,88.00,2.00,1,101.00,314.00,1,1,0.00,101.00,101.00,69,146.40,144.60,22
1,2018,NYG,388.00,4.00,33.00,161.00,12.00,12.00,1.50,14.00,1.50,1.00,1.00,0.50,0.50,0.00,0.00,16,67.00,79.00,3.00,1,97.00,382.00,0,0,0.00,97.00,97.00,75,191.00,189.00,23
1,2018,NYJ,382.00,3.00,32.00,155.00,9.00,10.00,1.00,12.00,1.00,0.00,0.00,0.50,0.50,0.00,0.00,16,94.00,81.00,2.00,1,84.00,368.00,0,0,0.00,84.00,84.00,82,190.00,188.00,24
1,2018,OAK,373.00,3.00,28.00,188.00,9.00,11.00,1.00,11.00,1.00,1.00,0.00,0.50,0.50,0.00,0.00,16,74.00,85.00,2.00,1,79.00,355.00,0,0,0.00,79.00,79.00,83,183.00,181.00,25
1,2018,PHI,295.00,6.00,39.00,246.00,12.00,14.00,2.00,17.00,2.00,4.00,0.00,1.00,1.00,0.00,0.00,16,115.00,99.00,4.00,2,123.00,283.00,3,3,0.00,123.00,123.00,26,115.90,118.80,26
1,2018,PIT,308.00,4.00,46.00,393.00,10.00,12.00,1.50,14.00,1.50,2.00,1.00,0.50,0.50,0.00,0.00,16,106.00,105.00,3.00,1,110.00,296.00,1,1,0.00,110.00,110.00,28,163.80,165.20,28
1,2018,SEA,332.00,4.00,37.00,269.00,11.00,12.00,1.50,13.00,1.50,0.00,2.00,0.50,0.50,0.00,0.00,16,112.00,92.00,3.00,1,99.00,322.00,1,1,0.00,99.00,99.00,90,161.20,178.00,30
1,2018,SF,383.00,3.00,34.00,179.00,13.00,14.00,1.00,13.00,1.00,0.00,0.00,0.50,0.50,0.00,0.00,16,101.00,89.00,2.00,1,92.00,375.00,0,0,0.00,92.00,92.00,93,186.00,184.00,31
1,2018,TB,382.00,4.00,33.00,137.00,17.00,13.00,1.50,13.00,1.50,1.00,0.00,0.50,0.50,0.00,0.00,16,74.00,71.00,3.00,1,96.00,376.00,0,0,0.00,96.00,96.00,95,189.00,187.00,33
1,2018,TEN,356.00,3.00,42.00,272.00,9.00,12.00,1.00,14.00,1.00,0.00,0.00,0.50,0.50,0.00,0.00,16,91.00,79.00,2.00,1,100.00,332.00,0,0,0.00,100.00,100.00,34,171.30,167.30,34
1,2018,WAS,388.00,3.00,40.00,272.00,12.00,12.00,1.00,15.00,1.00,0.00,0.00,0.50,0.50,0.00,0.00,16,107.00,78.00,2.00,1,100.00,362.00,0,0,0.00,100.00,100.00,97,176.00,173.00,35
