SeasonType,Season,Team,Score,OpponentScore,TotalScore,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,Games,TeamID
1,2018,CAR,376,382,758,96,128,40,112,0,31:44,356,117,212,27,1011,5972,5.9,46,416,2136,5.1,17,563,378,3836,28,16,6.8,10.1,67.1,91.16,185,77,41.6,19,9,47.4,58,36,0,0,92,818,6,6,32,235,72,108,61,2759,45.2,22,23,1,89,104,83,106,0,29:16,315,110,185,20,948,5651,6.0,46,384,1804,4.7,13,529,353,3847,32,13,7.3,10.9,66.7,97.92,183,73,39.9,17,10,58.8,47,33,0,0,91,805,10,10,35,215,80,70,64,2928,45.8,23,22,-1,62.1,0,70.2,0,41,37,0,8,2,0,0,21,19,43,42,0,4,1,1,1,23,20,636,297,34,200,71,14,9,667,358,32,235,60,16,6,16,5
2,2018,CAR,104,96,200,19,17,19,49,0,32:50,95,30,53,12,262,1493,5.7,14,110,468,4.3,7,145,94,1025,6,2,7.1,10.9,64.8,93.61,51,25,49.0,3,2,66.7,12,9,0,0,32,298,2,2,7,48,21,19,16,703,43.9,4,3,-1,27,27,10,32,0,28:10,79,18,49,12,238,1361,5.7,10,89,346,3.9,5,144,96,1015,5,2,7.0,10.6,66.7,92.80,48,19,39.6,4,1,25.0,15,8,0,0,31,304,1,1,5,32,16,13,15,707,47.1,3,4,1,75.0,0,53.3,0,11,11,0,3,0,0,0,6,5,6,6,0,1,0,3,3,9,8,166,85,5,0,17,2,1,144,154,7,0,18,5,2,4,5
1,2018,CHI,421,283,704,85,138,82,116,0,32:22,331,108,177,46,1013,5502,5.4,50,468,1938,4.1,16,512,344,3564,28,14,7.0,10.4,67.2,93.91,200,82,41.0,15,9,60.0,54,36,0,0,97,796,10,10,33,183,104,98,62,2791,45.0,24,36,12,38,58,66,115,6,29:42,278,67,186,25,1004,4795,4.8,30,339,1280,3.8,5,615,377,3515,22,27,5.7,9.3,61.3,70.61,219,75,34.2,28,16,57.1,40,20,0,0,114,1022,9,9,50,339,65,84,78,3447,44.2,36,24,-12,66.7,0,50.0,0,45,42,0,9,4,0,0,30,23,22,22,0,16,3,0,0,26,25,720,203,50,340,97,16,9,784,188,32,185,54,14,10,16,6
2,2018,CHI,121,118,239,38,37,13,33,0,31:40,109,28,61,20,329,1764,5.4,14,132,543,4.1,5,189,121,1221,7,6,6.5,10.1,64.0,81.47,67,27,40.3,6,3,50.0,18,10,0,0,46,459,3,3,8,41,31,23,19,926,48.7,9,6,-3,36,27,13,42,0,29:20,96,30,49,17,312,1558,5.0,13,126,578,4.6,2,166,95,980,11,5,5.9,10.3,57.2,83.91,70,22,31.4,6,5,83.3,18,9,0,0,45,469,1,1,20,97,23,28,27,1177,43.6,6,9,3,55.6,0,50.0,0,13,13,0,2,0,0,0,11,8,9,9,0,7,1,0,0,9,9,230,54,20,47,20,1,1,241,53,8,23,14,1,2,5,6
3,2018,CHI,15,16,31,0,6,0,9,0,29:12,17,3,12,2,63,356,5.7,1,18,65,3.6,0,43,26,291,1,0,6.8,11.2,60.5,88.42,16,5,31.2,0,0,0,3,0,0,0,3,52,0,0,2,12,5,7,6,243,40.5,0,2,2,3,0,7,6,0,30:48,21,2,17,2,64,300,4.7,2,23,42,1.8,0,40,25,258,2,2,6.4,10.3,62.5,76.88,13,6,46.2,1,1,100,3,2,0,0,3,25,0,0,1,8,6,7,5,226,45.2,2,0,-2,0,0,66.7,0,0,0,0,2,0,0,0,4,3,1,1,0,1,0,0,0,1,1,41,10,1,8,9,0,0,47,5,2,12,10,0,0,1,6
1,2018,CIN,368,455,823,69,125,55,119,0,27:27,304,92,182,30,938,4972,5.3,45,359,1682,4.7,13,542,331,3290,27,13,6.1,9.9,61.1,84.88,187,69,36.9,17,9,52.9,45,32,0,0,114,957,4,4,37,279,83,71,71,3119,43.9,17,18,1,59,203,109,84,0,33:33,372,125,221,26,1084,6618,6.1,51,466,2204,4.7,17,584,389,4414,32,12,7.6,11.3,66.6,98.79,223,109,48.9,17,11,64.7,61,39,0,0,113,944,6,6,34,173,74,92,53,2284,43.1,18,17,-1,71.1,0,63.9,0,41,39,0,7,1,0,0,23,19,46,44,0,8,2,1,1,36,33,730,337,34,171,75,9,7,639,248,37,281,72,7,4,16,7
2,2018,CIN,103,80,183,35,28,17,23,0,29:13,82,19,50,13,258,1458,5.7,10,112,371,3.3,3,143,87,1087,7,3,7.6,12.5,60.8,92.03,55,18,32.7,2,1,50.0,14,6,0,0,36,294,1,1,3,17,22,20,23,1028,44.7,4,6,2,10,21,26,23,0,31:47,86,28,50,8,271,1443,5.3,10,99,471,4.8,4,159,101,972,5,3,6.1,9.6,63.5,83.11,57,24,42.1,6,2,33.3,11,8,0,0,35,373,3,3,13,91,12,21,22,949,43.1,6,4,-2,42.9,0,72.7,0,9,8,0,2,1,0,0,11,11,8,8,0,3,0,0,0,5,4,191,80,13,0,21,3,3,177,80,3,0,26,4,1,4,7
2,2018,CLE,77,46,123,26,24,6,21,0,31:50,71,28,36,7,253,1301,5.1,9,131,515,3.9,4,114,65,786,4,1,6.9,12.1,57.0,86.37,58,16,27.6,5,3,60.0,9,5,0,0,35,350,2,2,8,60,24,25,31,1304,42.1,3,5,2,3,10,13,20,0,29:10,68,27,29,12,259,1111,4.3,5,99,431,4.4,2,147,84,680,3,3,4.6,8.1,57.1,67.28,54,12,22.2,4,1,25.0,8,4,0,0,24,193,2,2,13,73,12,26,28,1281,45.8,5,3,-2,55.6,0,50.0,0,7,7,0,2,0,1,1,4,4,5,4,0,0,0,0,0,6,4,184,56,13,0,22,3,2,195,74,8,0,18,2,2,4,8
1,2018,CLE,359,392,751,59,94,93,110,3,29:29,314,93,189,32,1023,5900,5.8,44,411,1893,4.6,15,574,353,4007,29,17,7.0,11.4,61.5,86.92,208,73,35.1,21,9,42.9,48,32,0,0,112,894,7,7,38,254,91,99,83,3767,45.4,24,31,7,64,136,86,100,6,33:48,377,130,216,31,1122,6288,5.6,43,459,2163,4.7,20,626,393,4125,21,17,6.6,10.5,62.8,81.72,210,75,35.7,20,13,65.0,54,33,0,0,119,990,14,14,37,245,74,95,71,3093,43.6,31,24,-7,66.7,0,61.1,0,34,28,0,15,2,2,2,25,19,39,36,0,5,2,1,1,37,30,752,313,37,253,78,17,15,673,331,38,254,76,15,7,16,8
1,2018,DAL,339,324,663,76,77,63,117,6,32:32,322,113,184,25,1022,5501,5.4,36,439,1964,4.5,13,527,356,3537,22,8,6.7,9.9,67.6,93.93,216,90,41.7,21,12,57.1,50,24,0,0,104,885,9,9,56,347,100,88,60,2670,44.5,17,20,3,24,90,79,128,3,29:29,309,89,193,27,981,5268,5.4,35,400,1513,3.8,12,542,367,3755,22,9,6.9,10.2,67.7,93.99,201,85,42.3,14,6,42.9,49,25,0,0,89,681,11,11,39,229,113,104,64,2856,44.6,20,17,-3,48.0,0,51.0,0,33,32,0,2,1,1,1,36,29,33,31,0,2,1,0,0,30,27,694,303,39,229,66,15,11,703,324,56,347,56,16,9,16,9
3,2018,DAL,46,52,98,10,7,8,21,0,29:18,42,15,22,5,123,688,5.6,6,56,214,3.8,4,65,42,474,2,1,7.3,11.3,64.6,90.16,21,5,23.8,4,3,75.0,6,5,0,0,10,62,0,0,2,18,4,8,9,390,43.3,1,0,-1,3,23,11,15,0,31:42,41,22,17,2,128,758,5.9,5,72,346,4.8,4,55,33,412,1,0,7.5,12.5,60.0,89.36,24,7,29.2,4,4,100,7,4,0,0,9,77,0,0,1,7,7,8,8,389,48.6,0,1,1,83.3,0,57.1,0,5,5,0,2,1,0,0,2,1,3,3,0,0,0,2,2,7,5,85,48,1,7,5,0,0,87,29,2,18,6,1,0,2,9
2,2018,DAL,43,86,129,13,14,7,9,0,31:49,69,20,41,8,265,1122,4.2,4,91,298,3.3,1,162,103,824,3,5,5.1,8,63.6,69.57,60,20,33.3,4,1,25.0,5,3,0,0,39,321,5,5,12,73,18,22,26,1166,44.8,10,5,-5,21,10,21,34,0,29:11,66,22,32,12,237,1211,5.1,10,112,440,3.9,6,120,70,771,2,3,6.4,11.0,58.3,72.60,49,12,24.5,3,2,66.7,9,6,0,0,37,295,2,2,5,29,22,22,27,1177,43.6,5,10,5,60.0,0,66.7,0,4,4,0,0,0,0,0,6,5,7,7,0,5,2,0,0,6,5,173,71,5,0,26,3,2,195,70,12,0,22,5,5,4,9
2,2018,DEN,101,93,194,15,39,27,20,0,32:13,78,25,43,10,250,1339,5.4,10,103,463,4.5,4,139,89,876,5,3,6.3,9.8,64.0,84.70,55,24,43.6,1,0,0,11,5,0,0,41,404,1,1,8,48,28,22,18,822,45.7,4,3,-1,21,23,3,46,0,28:47,74,22,39,13,238,1152,4.8,11,106,422,4.0,1,120,76,730,10,2,6.1,9.6,63.3,101.04,50,16,32.0,4,3,75.0,13,10,0,0,34,329,1,1,12,76,21,17,21,1025,48.8,3,4,1,45.5,0,76.9,0,8,8,0,2,1,1,1,10,9,10,10,0,2,1,0,0,6,5,183,48,12,0,12,1,1,197,39,8,0,20,2,1,4,10
1,2018,DEN,329,349,678,75,78,86,90,0,29:58,320,107,181,32,1015,5602,5.5,39,393,1907,4.9,18,588,367,3695,19,15,6.3,10.1,62.4,80.42,207,69,33.3,25,15,60.0,44,25,0,0,125,985,6,6,34,235,96,83,85,3786,44.5,21,28,7,65,136,82,66,0,31:02,318,85,197,36,1022,5842,5.7,39,429,1913,4.5,11,549,353,3929,26,17,7.2,11.1,64.3,88.37,211,82,38.9,11,6,54.5,43,25,0,0,123,1006,11,11,44,311,95,74,72,3346,46.5,28,21,-7,56.8,0,58.1,0,35,35,0,6,0,0,0,25,20,39,35,1,0,0,0,0,31,26,701,301,43,305,82,15,10,728,204,34,235,66,12,6,16,10
1,2018,DET,324,360,684,69,101,58,96,0,31:24,325,91,201,33,1019,5236,5.1,35,404,1660,4.1,11,574,375,3576,22,12,6.2,9.5,65.3,86.55,208,75,36.1,18,11,61.1,49,26,0,0,94,852,7,7,41,268,78,73,74,3310,44.7,19,14,-5,43,124,94,99,0,29:36,315,88,191,36,942,5360,5.7,44,403,1761,4.4,11,496,323,3599,29,7,7.3,11.1,65.1,100.19,186,69,37.1,17,9,52.9,47,27,0,0,94,886,7,7,43,298,85,97,68,3078,45.3,14,19,5,53.1,0,57.4,0,30,30,0,8,0,0,0,32,28,39,35,0,10,2,0,0,28,19,699,207,43,298,47,9,7,736,213,40,267,58,11,7,16,11
2,2018,DET,77,111,188,6,10,10,51,0,30:54,81,21,43,17,265,1125,4.2,9,96,360,3.8,4,157,96,765,4,2,4.9,8.0,61.1,76.53,52,15,28.8,5,4,80.0,12,8,0,0,28,263,1,1,12,71,12,10,22,1057,48.0,3,3,0,20,48,17,26,0,30:06,80,27,42,11,236,1401,5.9,13,112,485,4.3,6,122,72,916,5,1,7.5,12.7,59.0,92.79,48,17,35.4,4,3,75.0,15,10,0,0,39,395,2,2,2,14,26,22,19,777,40.9,3,3,0,66.7,0,66.7,0,8,8,0,2,0,0,0,7,5,12,10,0,0,0,1,1,7,7,188,54,2,0,20,0,2,207,41,12,0,28,2,1,4,11
2,2018,GB,109,97,206,34,31,24,20,0,31:23,85,19,51,15,272,1283,4.7,13,105,312,3.0,3,154,83,971,8,4,6.3,11.7,53.9,79.76,60,25,41.7,7,3,42.9,12,8,0,0,35,301,1,1,13,81,15,11,18,814,45.2,5,6,1,31,13,20,33,0,29:37,79,20,49,10,246,1413,5.7,11,100,428,4.3,3,141,81,985,7,4,7.0,12.2,57.4,83.79,52,21,40.4,4,2,50.0,14,8,0,0,41,411,2,2,5,30,24,17,18,788,43.8,6,5,-1,66.7,0,57.1,0,13,13,0,0,0,0,0,6,6,8,8,0,4,0,1,1,8,7,175,64,5,0,12,4,3,191,72,13,18,22,5,1,4,12
1,2018,GB,376,400,776,75,107,92,96,6,30:03,332,98,208,26,1026,5905,5.8,41,333,1667,5.0,14,640,392,4238,25,4,6.6,10.8,61.2,91.13,204,75,36.8,20,10,50.0,47,29,0,0,108,937,11,11,53,391,76,78,71,3176,44.7,15,15,0,104,131,61,104,0,31:48,331,100,199,32,1017,5670,5.6,47,446,1918,4.3,15,527,336,3752,30,7,7.1,11.2,63.8,98.32,212,79,37.3,18,12,66.7,56,34,0,0,97,792,8,8,44,322,107,89,71,3258,45.9,15,15,0,61.7,0,60.7,0,36,34,0,6,2,1,1,37,30,44,43,0,5,2,0,0,31,23,734,264,42,306,59,9,8,695,270,53,394,47,12,11,16,12
1,2018,HOU,402,316,718,87,136,60,110,9,31:46,333,94,202,37,1040,5802,5.6,42,472,2021,4.3,12,506,345,3781,26,9,7.5,11.0,68.2,99.75,208,77,37.0,12,8,66.7,60,30,0,0,105,787,7,7,62,384,96,96,74,3237,43.7,16,29,13,74,76,91,72,3,30:22,298,76,200,22,1022,5490,5.4,36,385,1323,3.4,8,594,385,4167,28,15,7.0,10.8,64.8,90.52,227,91,40.1,20,12,60.0,41,29,0,0,117,945,14,14,43,310,137,119,79,3732,47.2,29,16,-13,50.0,0,70.7,0,41,39,0,2,0,0,0,42,37,32,29,0,7,1,0,0,26,23,718,278,43,309,90,20,14,735,379,63,384,49,12,7,16,13
2,2018,HOU,67,50,117,28,14,6,19,0,28:56,75,18,40,17,237,1166,4.9,9,105,414,3.9,3,127,72,752,6,3,5.9,10.4,56.7,79.90,46,13,28.3,7,4,57.1,12,7,0,0,31,251,1,1,5,29,16,11,21,928,44.2,4,6,2,17,14,10,9,0,32:04,74,19,46,9,258,1184,4.6,5,102,338,3.3,2,154,100,846,3,6,5.5,8.5,64.9,69.35,65,34,52.3,3,1,33.3,7,4,0,0,41,398,0,0,2,17,22,12,22,912,41.5,6,4,-2,58.3,0,57.1,0,8,7,0,1,0,0,0,4,2,5,5,0,0,0,0,0,5,5,188,74,2,0,23,0,0,169,60,5,0,23,3,2,4,13
3,2018,HOU,7,21,28,0,0,0,7,0,28:46,20,7,13,0,68,322,4.7,1,16,105,6.6,0,49,29,217,1,1,4.4,7.5,59.2,68.15,13,3,23.1,5,2,40.0,2,1,0,0,8,67,0,0,3,18,4,1,5,234,46.8,1,1,0,14,7,0,0,0,31:14,26,10,14,2,67,422,6.3,3,35,200,5.7,1,32,19,222,2,1,6.9,11.7,59.4,88.28,14,9,64.3,0,0,0,4,3,0,0,2,10,0,0,0,0,8,3,4,148,37,1,1,0,50.0,0,75.0,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,42,20,0,0,7,0,0,36,28,3,18,4,0,0,1,13
