PlayerID,Team,Number,FirstName,LastName,Position,Status,Height,Weight,BirthDate,College,Experience,FantasyPosition,PositionCategory,PhotoUrl,ByeWeek,AverageDraftPosition,CollegeDraftTeam,CollegeDraftYear,CollegeDraftRound,CollegeDraftPick,IsUndraftedFreeAgent,FanDuelPlayerID,DraftKingsPlayerID,InjuryStatus,FanDuelName,DraftKingsName,TeamID
1248,,55,Ahmad,Brooks,OLB,Inactive,6'3",259,3/14/1984 12:00:00 AM,Virginia,12,LB,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/1248.png,,,CIN Supp,2006,3,,True,,,,,Ahmad Brooks,
1370,,92,James,Harrison,LB,Inactive,6'0",242,5/4/1978 12:00:00 AM,Kent State,16,LB,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/1370.png,,,PIT FA,2002,,,True,,,,,James Harrison,
1545,,80,Anthony,Fasano,TE,Inactive,6'4",255,4/20/1984 12:00:00 AM,Notre Dame,13,TE,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/1545.png,,,DAL,2006,2,53,False,6778,217412,,Anthony Fasano,Anthony Fasano,
1589,,29,John,Kuhn,FB,Inactive,6'0",250,9/9/1982 12:00:00 AM,Shippensburg - PA,13,RB,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/1589.png,,,PIT FA,2005,,,True,7244,285900,,John Kuhn,John Kuhn,
1590,,27,Tyvon,Branch,SS,Inactive,5'11",205,12/11/1986 12:00:00 AM,Connecticut,11,DB,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/1590.png,,,OAK,2008,4,100,False,,,,,,
1650,,29,Leon,Hall,CB,Inactive,5'11",199,12/9/1984 12:00:00 AM,Michigan,12,DB,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/1650.png,,,CIN,2007,1,18,False,,,,,,
322,,73,Jason,Jones,DE,Inactive,6'5",276,5/23/1986 12:00:00 AM,Eastern Michigan,10,DL,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/322.png,,,TEN,2008,2,54,False,,,,,,
2074,,74,Nick,Mangold,C,Inactive,6'4",307,1/13/1984 12:00:00 AM,Ohio State,12,OL,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/2074.png,,,NYJ,2006,1,29,False,,,,,,
2104,,29,Mike,Adams,FS,Inactive,5'11",200,3/24/1981 12:00:00 AM,Delaware,16,DB,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/2104.png,,,SF,2004,,,True,,,,,Mike Adams,
2158,,98,Kendall,Langford,DE,Inactive,6'5",295,1/27/1986 12:00:00 AM,Hampton,11,DL,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/2158.png,,,MIA,2008,3,66,False,,,,,,
2232,,90,Stefan,Charles,NT,Inactive,6'5",302,6/9/1988 12:00:00 AM,Regina - Canada,5,DL,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/2232.png,,,TEN FA,2013,,,True,,,,,,
2262,,22,Tim,Hightower,RB,Inactive,6'1",222,5/23/1986 12:00:00 AM,Richmond,7,RB,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/2262.png,,,ARZ,2008,5,149,False,6828,262666,,Tim Hightower,Tim Hightower,
2284,,76,Branden,Albert,OT,Inactive,6'6",316,11/4/1984 12:00:00 AM,Virginia,10,OL,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/2284.png,,,KC,2008,1,15,False,,,,,,
2406,,91,Tamba,Hali,OLB,Inactive,6'3",275,11/3/1983 12:00:00 AM,Penn State,13,LB,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/2406.png,,,KC,2006,1,20,False,,,,,,
2428,,3,Carson,Palmer,QB,Inactive,6'5",235,12/27/1979 12:00:00 AM,USC,16,QB,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/2428.png,,,CIN,2003,1,1,False,6748,184503,,Carson Palmer,Carson Palmer,
2550,,95,Kyle,Williams,DT,Inactive,6'1",306,6/10/1983 12:00:00 AM,LSU,14,DL,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/2550.png,,,BUF,2006,5,134,False,,,,,,
2663,,73,Allen,Barbre,OT,Inactive,6'4",305,6/22/1984 12:00:00 AM,Missouri Southern,11,OL,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/2663.png,,,GB,2007,4,119,False,,,,,,
2699,,22,Matt,Forte,RB,Injured Reserve,6'1",218,12/10/1985 12:00:00 AM,Tulane,11,RB,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/2699.png,,,CHI,2008,2,44,False,6899,267474,,Matt Forte,Matt Forte,
1903,,92,Pat,Sims,NT,Inactive,6'2",325,11/29/1985 12:00:00 AM,Auburn,11,DL,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/1903.png,,,CIN,2008,3,77,False,,,,,,
3144,,73,Jahri,Evans,G,Inactive,6'4",318,8/22/1983 12:00:00 AM,Bloomsburg - PA,13,OL,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/3144.png,,,NO,2006,4,108,False,,,,,,
3253,,11,Sebastian,Janikowski,K,Inactive,6'2",250,3/2/1978 12:00:00 AM,Florida State,20,K,ST,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/3253.png,,,OAK,2000,1,17,False,7831,25165,,Sebastian Janikowski,Sebastian Janikowski,
3330,,19,Miles,Austin,WR,Inactive,6'2",217,6/30/1984 12:00:00 AM,Monmouth - NJ,10,WR,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/3330.png,,,DAL,2006,,,True,6387,222199,,,,
3339,,71,Josh,Sitton,G,Inactive,6'3",318,6/6/1986 12:00:00 AM,Central Florida,11,OL,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/3339.png,,,GB,2008,4,135,False,,,,,,
3382,,44,Marcel,Reece,FB,Inactive,6'2",240,6/23/1985 12:00:00 AM,Washington,10,RB,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/3382.png,,,MIA FA,2008,,,True,10354,324242,,Marcel Reece,Marcel Reece,
3388,,3,Matt,Bryant,K,Inactive,5'9",200,5/29/1975 12:00:00 AM,Baylor,18,K,ST,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/3388.png,,,NYG FA,2002,,,True,10647,171678,,Matt Bryant,Matt Bryant,
3519,,83,Vincent,Jackson,WR,Inactive,6'5",230,1/14/1983 12:00:00 AM,Northern Colorado,12,WR,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/3519.png,,,LAC,2005,2,61,False,7953,223079,,Vincent Jackson,Vincent Jackson,
3601,,14,Eric,Weems,WR,Inactive,5'9",195,7/4/1985 12:00:00 AM,Bethune-Cookman,11,WR,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/3601.png,,,ATL FA,2007,,,True,6622,232451,,Eric Weems,Eric Weems,
3808,,95,William,Hayes,DE,Inactive,6'3",272,5/2/1985 12:00:00 AM,Winston - Salem State,12,DL,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/3808.png,,,TEN,2008,4,103,False,,,,,,
3867,,9,Tony,Romo,QB,Inactive,6'2",230,4/21/1980 12:00:00 AM,Eastern Illinois,15,QB,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/3867.png,,,DAL FA,2003,,,True,6639,234210,,Tony Romo,Tony Romo,
3909,,97,Simeon,Rice,DE,Inactive,,,,,,DL,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,,,,,,,,,,,,,
3764,,9,Jon,Ryan,P,Inactive,6'0",217,11/26/1981 12:00:00 AM,Regina - Canada,13,P,ST,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/3764.png,,,GB FA,2006,,,True,,,,,,
4096,,93,Ahtyba,Rubin,DT,Inactive,6'3",330,7/25/1986 12:00:00 AM,Iowa State,11,DL,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/4096.png,,,CLE,2008,6,190,False,,,,,Ahtyba Rubin,
4122,,47,William,Gay,FS,Inactive,5'10",190,1/1/1985 12:00:00 AM,Louisville,12,DB,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/4122.png,,,PIT,2007,5,170,False,,,,,William Gay,
4131,,93,Dwight,Freeney,DE,Inactive,6'1",268,2/19/1980 12:00:00 AM,Syracuse,17,DL,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/4131.png,,,IND,2002,1,11,False,,,,,,
4162,,51,Paul,Posluszny,ILB,Injured Reserve,6'2",238,10/10/1984 12:00:00 AM,Penn State,12,LB,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/4162.png,,,BUF,2007,2,34,False,,,,,Paul Posluszny,
4556,,82,Jordy,Nelson,WR,Inactive,6'3",217,5/31/1985 12:00:00 AM,Kansas State,12,WR,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/4556.png,,,GB,2008,2,36,False,6893,227442,,Jordy Nelson,Jordy Nelson,
4577,,82,Gary,Barnidge,TE,Inactive,6'6",247,9/22/1985 12:00:00 AM,Louisville,10,TE,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/4577.png,,,CAR,2008,5,141,False,6422,273753,,Gary Barnidge,Gary Barnidge,
4631,,19,Wes,Welker,WR,Inactive,5'9",185,5/1/1981 12:00:00 AM,Texas Tech,10,WR,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/4631.png,,,LAC,2004,,,True,7857,251241,,,,
4354,,9,Nick,Novak,K,Inactive,5'11",198,8/21/1981 12:00:00 AM,Maryland,11,K,ST,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/4354.png,,,CHI FA,2005,,,True,12090,,,Nick Novak,,
4399,,56,Cliff,Avril,DE,Inactive,6'3",260,4/8/1986 12:00:00 AM,Purdue,11,DL,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/4399.png,,,DET,2008,3,92,False,,,,,,
4640,,22,Reggie,Bush,RB,Inactive,5'11",203,3/2/1985 12:00:00 AM,USC,12,RB,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/4640.png,,,NO,2006,1,2,False,6643,214307,,Reggie Bush,Reggie Bush,
4738,,35,Mike,Tolbert,FB,Inactive,5'9",243,11/23/1985 12:00:00 AM,Coastal Carolina,11,RB,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/4738.png,,,SD FA,2008,,,True,7975,268445,,Mike Tolbert,Mike Tolbert,
4959,,52,Philip,Wheeler,OLB,Inactive,6'2",240,12/12/1984 12:00:00 AM,Georgia Tech,10,LB,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/4959.png,,,IND,2008,3,93,False,,,,,,
4992,,52,Justin,Durant,ILB,Inactive,6'1",240,9/20/1985 12:00:00 AM,Hampton,11,LB,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/4992.png,,,JAX,2007,2,48,False,,,,,Justin Durant,
5054,,10,Kellen,Clemens,QB,Inactive,6'2",220,6/6/1983 12:00:00 AM,Oregon,13,QB,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/5054.png,,,NYJ,2006,2,49,False,7919,167415,,Kellen Clemens,Kellen Clemens,
5083,,46,Jon,Condo,LS,Inactive,6'3",250,8/26/1981 12:00:00 AM,Maryland,13,LS,ST,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/5083.png,,,DAL FA,2005,,,True,,,,,Jon Condo,
4819,,0,Charles,Tillman,CB,Inactive,6'1",198,2/23/1981 12:00:00 AM,Louisiana - Lafayette,13,DB,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/4819.png,,,CHI,2003,2,35,False,,,,,,
5143,,65,Vince,Manuwai,G,Inactive,6'2",333,7/12/1980 12:00:00 AM,Hawaii,8,OL,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,,,,,,,,,,,,,
5282,,15,Josh,McCown,QB,Inactive,6'4",215,7/4/1979 12:00:00 AM,Sam Houston State,17,QB,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/5282.png,,,ARZ,2002,3,81,False,6803,81059,,Josh McCown,Josh McCown,
5451,,28,Jonathan,Stewart,RB,Inactive,5'10",235,3/21/1987 12:00:00 AM,Oregon,11,RB,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/5451.png,,,CAR,2008,1,13,False,6733,296086,,Jonathan Stewart,Jonathan Stewart,
5511,,87,Brent,Celek,TE,Inactive,6'4",255,1/25/1985 12:00:00 AM,Cincinnati,12,TE,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/5511.png,,,PHI,2007,5,162,False,6742,229510,,Brent Celek,Brent Celek,
5633,,61,Brett,Goode,LS,Inactive,6'1",255,11/2/1984 12:00:00 AM,Arkansas,11,LS,ST,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/5633.png,,,JAX FA,2007,,,True,,,,,,
5696,,22,Duce,Staley,RB,Inactive,,,,,,RB,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,,,,,,,,,,,,,
5701,,22,Fred,Jackson,RB,Inactive,6'1",215,2/20/1981 12:00:00 AM,Coe - IA,9,RB,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/5701.png,,,BUF,2006,,,True,7660,331161,,,,
5714,,4,Phil,Dawson,K,Inactive,5'11",200,1/23/1975 12:00:00 AM,Texas,21,K,ST,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/5714.png,,,OAK FA,1998,,,True,6702,24388,,Phil Dawson,Phil Dawson,
5834,,8,Matt,Moore,QB,Inactive,6'3",216,8/9/1984 12:00:00 AM,Oregon State,12,QB,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/5834.png,,,DAL FA,2007,,,True,6808,214201,,Matt Moore,Matt Moore,
5885,,71,Matt,McCants,OT,Inactive,6'6",309,8/18/1989 12:00:00 AM,UAB,6,OL,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/5885.png,,,NYG,2012,6,201,False,,,,,,
5916,,23,Terence,Newman,CB,Inactive,5'10",191,9/4/1978 12:00:00 AM,Kansas State,16,DB,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/5916.png,,,DAL,2003,1,5,False,,,,,Terence Newman,
5929,,94,Domata,Peko,NT,Inactive,6'3",318,11/27/1984 12:00:00 AM,Michigan State,14,DL,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/5929.png,,,CIN,2006,4,123,False,,,,,,
6029,,81,Calvin,Johnson,WR,Inactive,6'5",236,9/29/1985 12:00:00 AM,Georgia Tech,9,WR,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/6029.png,,,DET,2007,1,2,False,6655,266919,,,,
6078,,24,Brent,Grimes,CB,Inactive,5'10",185,7/19/1983 12:00:00 AM,Shippensburg - PA,13,DB,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/6078.png,,,ATL FA,2006,,,True,,,,,,
6211,,83,Harry,Douglas,WR,Inactive,5'11",182,9/16/1985 12:00:00 AM,Louisville,11,WR,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/6211.png,,,ATL,2008,3,84,False,10030,229493,,Harry Douglas,Harry Douglas,
6276,,3,Luke,McCown,QB,Inactive,6'4",217,7/12/1981 12:00:00 AM,Louisiana Tech,14,QB,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/6276.png,,,CLE,2004,4,106,False,8051,246313,,Luke McCown,Luke McCown,
6304,,24,Darrelle,Revis,CB,Inactive,5'11",198,7/14/1985 12:00:00 AM,Pittsburgh,11,DB,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/6304.png,,,NYJ,2007,1,14,False,,,,,,
6767,,15,Pierre,Garcon,WR,Inactive,6'0",210,8/8/1986 12:00:00 AM,Mount Union - OH,12,WR,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/6767.png,,,IND,2008,6,205,False,6774,399939,,Pierre Garcon,Pierre Garcon,
6828,,23,Chris,Johnson,RB,Inactive,5'11",191,9/23/1985 12:00:00 AM,East Carolina,11,RB,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/6828.png,,,TEN,2008,1,24,False,6566,268484,,Chris Johnson,Chris Johnson,
6853,,24,Corey,Graham,FS,Inactive,6'0",196,7/25/1985 12:00:00 AM,New Hampshire,13,DB,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/6853.png,,,CHI,2007,5,168,False,,,,,Corey Graham,
7082,,17,Devin,Hester,WR,Inactive,5'11",190,11/4/1982 12:00:00 AM,Miami,11,WR,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/7082.png,,,CHI,2006,2,57,False,6904,216407,,Devin Hester,Devin Hester,
7098,,74,Jermon,Bushrod,OT,Inactive,6'5",315,8/19/1984 12:00:00 AM,Towson,13,OL,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/7098.png,,,NO,2007,4,125,False,,,,,,
7121,,95,Wallace,Gilberry,DE,Inactive,6'2",268,12/5/1984 12:00:00 AM,Alabama,10,DL,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/7121.png,,,NYG FA,2008,,,True,,,,,,
7169,,97,Alan,Branch,DT,Inactive,6'6",325,12/29/1984 12:00:00 AM,Michigan,12,DL,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/7169.png,,,ARZ,2007,2,33,False,,,,,Alan Branch,
6681,,23,DeAngelo,Hall,FS,Inactive,5'10",195,11/19/1983 12:00:00 AM,Virginia Tech,15,DB,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/6681.png,,,ATL,2004,1,8,False,,,,,,
6688,,64,Zach,Strief,OT,Injured Reserve,6'8",320,9/22/1983 12:00:00 AM,Northwestern,13,OL,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/6688.png,,,NO,2006,7,210,False,,,,,,
7202,,96,Brian,Robison,DE,Inactive,6'3",259,4/27/1983 12:00:00 AM,Texas,12,DL,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/7202.png,,,MIN,2007,4,102,False,,,,,Brian Robison,
7203,,80,Dwayne,Bowe,WR,Inactive,6'2",221,9/21/1984 12:00:00 AM,LSU,10,WR,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/7203.png,,,KC,2007,1,23,False,6488,225224,,Dwayne Bowe,,
7238,,46,Jon,Dorenbos,LS,Injured Reserve,6'0",250,7/21/1980 12:00:00 AM,Texas-El Paso,15,LS,ST,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/7238.png,,,BUF FA,2003,,,True,,,,,,
7680,,94,Haloti,Ngata,DT,Inactive,6'4",340,1/21/1984 12:00:00 AM,Oregon,14,DL,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/7680.png,,,BAL,2006,1,12,False,,,,,,
7802,,56,Chris,Long,DE,Inactive,6'3",276,3/28/1985 12:00:00 AM,Virginia,12,DL,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/7802.png,,,SL,2008,1,2,False,,,,,Chris Long,
7815,,73,John,Greco,G,Inactive,6'5",315,3/24/1985 12:00:00 AM,Toledo,12,OL,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/7815.png,,,SL,2008,3,65,False,,,,,,
7884,,85,Antonio,Gates,TE,Inactive,6'4",260,6/18/1980 12:00:00 AM,Kent State,17,TE,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/7884.png,,,SD FA,2003,,,True,7965,234249,,Antonio Gates,Antonio Gates,
7969,,31,Jamaal,Charles,RB,Inactive,5'11",199,12/27/1986 12:00:00 AM,Texas,12,RB,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/7969.png,,,KC,2008,3,73,False,6728,300346,,Jamaal Charles,Jamaal Charles,
7998,,73,Eric,Winston,OT,Inactive,6'7",302,11/17/1983 12:00:00 AM,Miami (Fla.),12,OL,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/7998.png,,,HOU,2006,3,66,False,,,,,,
8003,,56,Korey,Toomer,ILB,Inactive,6'2",234,12/9/1988 12:00:00 AM,Idaho,5,LB,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/8003.png,,,SEA,2012,5,154,False,,,,,,
8066,,20,Darren,McFadden,RB,Inactive,6'1",210,8/27/1987 12:00:00 AM,Arkansas,11,RB,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/8066.png,,,OAK,2008,1,4,False,7806,288074,,Darren McFadden,Darren McFadden,
8135,,73,Joe,Thomas,OT,Injured Reserve,6'7",312,12/4/1984 12:00:00 AM,Wisconsin,11,OL,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/8135.png,,,CLE,2007,1,3,False,,,,,,
8231,,56,Derrick,Johnson,ILB,Inactive,6'3",242,11/22/1982 12:00:00 AM,Texas,14,LB,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/8231.png,,,KC,2005,1,15,False,,,,,,
7328,,18,Peyton,Manning,QB,Inactive,6'5",230,3/24/1976 12:00:00 AM,Tennessee,18,QB,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/7328.png,,,IND,1998,1,1,False,6661,24375,,,,
7420,,94,Lawrence,Timmons,OLB,Inactive,6'1",234,5/14/1986 12:00:00 AM,Florida State,12,LB,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/7420.png,,,PIT,2007,1,15,False,,,,,,
7509,,65,John,Sullivan,C,Inactive,6'3",301,8/8/1985 12:00:00 AM,Notre Dame,12,OL,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/7509.png,,,MIN,2008,6,187,False,,,,,,
7606,,9,Shane,Lechler,P,Inactive,6'2",225,8/7/1976 12:00:00 AM,Texas A&M,19,P,ST,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/7606.png,,,OAK,2000,5,142,False,,,,,,
8281,,31,Jairus,Byrd,FS,Inactive,5'10",200,10/7/1986 12:00:00 AM,Oregon,10,DB,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/8281.png,,,BUF,2009,2,42,False,,,,,Jairus Byrd,
8296,,67,Andy,Levitre,G,Inactive,6'2",305,5/15/1986 12:00:00 AM,Oregon State,10,OL,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/8296.png,,,BUF,2009,2,51,False,,,,,,
